zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10461.0,40.85507843915571,-73.85249192141406,NEILL AVENUE,39,10466.0,2000.0,2080.0,0.0,2080.0,0.0,0.0,1.0,2.0,100.0,52.0,2005.0,0.0,1.04,0.75,0.0,2.0,40.89607557768471,-73.8398785553742, BUSSING AVENUE
10468.0,40.86613523613008,-73.90272597995825,UNIVERSITY AVENUE,149,10465.0,1823.0,1499.0,0.0,1499.0,0.0,0.0,1.0,2.0,50.0,36.0,1940.0,0.0,0.82,0.75,0.0,2.0,40.8134349964005,-73.82283802953779, SCHURZ AVENUE
10463.0,40.878790215257844,-73.90177088166034,BAILEY AVENUE,136,10453.0,1500.0,3423.0,0.0,3423.0,0.0,0.0,1.0,3.0,100.0,37.0,2007.0,0.0,2.28,3.44,0.0,4.8,40.848281107636105,-73.9133027955105, DAVIDSON AVENUE
10455.0,40.812037398161614,-73.9065440115273,TINTON AVENUE,56,10469.0,1900.0,1911.0,0.0,1344.0,0.0,0.0,1.0,2.0,100.0,40.0,1965.0,1998.0,1.01,0.75,0.0,2.0,40.8663122910709,-73.8589350898461, PAULDING AVENUE
10460.0,40.84693919625803,-73.88525302415279,MAPES AVENUE,57,10461.0,2500.0,1536.0,0.0,1536.0,0.0,0.0,1.0,2.5,100.0,36.0,1920.0,0.0,0.61,0.75,0.0,2.0,40.8470507112045,-73.8529470690415, HONE AVENUE
10468.0,40.859711989183566,-73.9019581250828,WALTON AVENUE,33,10452.0,11036.0,58000.0,0.0,58000.0,0.0,0.0,1.0,6.0,87.47,87.0,1925.0,1979.0,5.26,3.44,0.0,4.8,40.834221263574,-73.9270858107181, EAST  STREET
10466.0,40.88748591273743,-73.86204024279911,EAST   STREET,5,10466.0,3380.0,1428.0,0.0,1428.0,0.0,0.0,1.0,2.5,102.42,26.0,1925.0,0.0,0.42,0.75,0.0,2.0,40.89412040132729,-73.85147933370929, DIGNEY AVENUE
10457.0,40.84971795245644,-73.90455004539167,ECHO PLACE,144,10469.0,1520.0,1336.0,0.0,1024.0,0.0,0.0,1.0,2.0,95.0,32.0,1950.0,0.0,0.88,0.75,0.0,2.0,40.86800997704729,-73.84715196521279, DEWITT PLACE
10455.0,40.81219105854694,-73.90648960775535,TINTON AVENUE,45,10456.0,12517.0,30999.0,,,,,1.0,3.0,200.92,175.0,1931.0,2017.0,2.48,3.44,1.0,6.5,40.8258367534371,-73.90864923560221, EAST  STREET
10459.0,40.83112585323778,-73.89569819593137,CHISHOLM STREET,13,10465.0,2625.0,2914.0,0.0,1876.0,0.0,0.0,1.0,2.0,125.0,51.5,1960.0,0.0,1.11,0.75,0.0,2.0,40.8189907780435,-73.812707095725, KEARNEY AVENUE
