lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,incident_zip,status,year,complaint_type
2842.0,3685.0,0.0,2680.0,0.0,0.0,1.0,2.0,100.0,67.0,1.3,1.25,0.0,2.0,10452.0,Closed,95,UNSANITARY CONDITION
5000.0,2630.0,0.0,1315.0,0.0,0.0,1.0,1.0,100.0,30.0,0.53,0.75,0.0,2.0,10461.0,Closed,80,HEAT/HOT WATER
1951.0,2790.0,0.0,1796.0,0.0,0.0,1.0,2.0,105.0,48.0,1.43,3.44,0.0,4.8,10472.0,Closed,100,FLOORING/STAIRS
2825.0,2901.0,0.0,2088.0,0.0,0.0,1.0,2.0,110.42,43.0,1.03,0.5,0.0,1.0,10453.0,Closed,90,FLOORING/STAIRS
2500.0,3192.0,0.0,2128.0,0.0,0.0,2.0,2.0,100.0,56.0,1.28,3.44,0.0,4.8,10453.0,Closed,95,DOOR/WINDOW
1875.0,3381.0,0.0,3381.0,0.0,0.0,1.0,3.0,75.0,45.1,1.8,1.25,0.0,2.0,10463.0,Closed,16,PAINT/PLASTER
1986.0,2600.0,0.0,2600.0,0.0,0.0,1.0,2.0,85.55,52.0,1.31,3.44,0.0,4.8,10467.0,Closed,18,HEAT/HOT WATER
2826.0,2285.0,0.0,1510.0,0.0,0.0,2.0,2.0,85.0,40.0,0.81,0.75,0.0,2.0,10469.0,Closed,85,WATER LEAK
2904.0,5840.0,0.0,5840.0,0.0,0.0,1.0,3.0,87.33,75.0,2.01,0.75,0.0,2.0,10452.0,Open,92,UNSANITARY CONDITION
1967.0,2375.0,0.0,1900.0,0.0,0.0,1.0,2.0,100.0,50.0,1.21,1.25,0.0,2.0,10458.0,Open,70,PLUMBING
5000.0,5000.0,5000.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,1.0,0.0,2.0,4.8,10456.0,Closed,67,UNSANITARY CONDITION
2500.0,2028.0,0.0,2028.0,0.0,0.0,1.0,2.0,100.0,45.0,0.81,1.25,0.0,2.0,10451.0,Closed,121,HEAT/HOT WATER
2400.0,1750.0,0.0,1350.0,0.0,0.0,1.0,2.0,96.0,41.0,0.73,1.25,0.0,2.0,10460.0,Closed,65,UNSANITARY CONDITION
2867.0,3000.0,0.0,3000.0,0.0,0.0,1.0,3.0,100.0,50.0,1.05,1.25,0.0,2.0,10457.0,Closed,50,HEAT/HOT WATER
1990.0,2136.0,0.0,2136.0,0.0,0.0,1.0,2.0,104.33,56.0,1.07,0.75,0.0,2.0,10457.0,Closed,15,ELECTRIC
1953.0,2018.0,0.0,1406.0,0.0,0.0,1.0,2.0,99.75,37.0,1.03,2.0,0.0,2.0,10467.0,Closed,65,HEAT/HOT WATER
2375.0,2856.0,0.0,2856.0,0.0,0.0,1.0,2.0,95.0,66.0,1.2,6.02,0.0,6.5,10469.0,Closed,96,HEAT/HOT WATER
