complaint_type,borough,status
HEAT/HOT WATER,BRONX,Open
GENERAL,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
PAINT/PLASTER,BRONX,Open
DOOR/WINDOW,BRONX,Open
HEAT/HOT WATER,BRONX,Open
DOOR/WINDOW,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Closed
APPLIANCE,BRONX,Open
DOOR/WINDOW,BRONX,Open
GENERAL,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
WATER LEAK,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
DOOR/WINDOW,BRONX,Open
PAINT/PLASTER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
ELECTRIC,BRONX,Open
PAINT/PLASTER,BRONX,Open
DOOR/WINDOW,BRONX,Open
DOOR/WINDOW,BRONX,Open
WATER LEAK,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
APPLIANCE,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
PLUMBING,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
WATER LEAK,BRONX,Open
DOOR/WINDOW,BRONX,Open
HEAT/HOT WATER,BRONX,Open
PLUMBING,BRONX,Open
PAINT/PLASTER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
GENERAL,BRONX,Open
DOOR/WINDOW,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
PLUMBING,BRONX,Open
HEAT/HOT WATER,BRONX,Open
WATER LEAK,BRONX,Open
APPLIANCE,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Closed
FLOORING/STAIRS,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Closed
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
HEAT/HOT WATER,BRONX,Open
UNSANITARY CONDITION,BRONX,Open
