lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,years,status,complaint_type
1629.0,1584.0,0.0,1152.0,0.0,0.0,1.0,2.0,90.5,32.0,0.97,0.75,0.0,2.0,70,0,1
2500.0,3933.0,1337.0,2596.0,0.0,1337.0,1.0,3.0,100.0,60.0,1.57,3.0,0.0,3.0,82,0,1
3034.0,1462.0,0.0,1462.0,0.0,0.0,1.0,2.5,93.58,43.0,0.48,0.75,0.0,2.0,90,1,1
2500.0,2133.0,0.0,1512.0,0.0,0.0,1.0,2.0,100.0,37.0,0.85,0.75,0.0,2.0,67,1,0
2025.0,2764.0,0.0,2764.0,0.0,0.0,1.0,3.0,100.0,52.0,1.36,0.5,0.0,1.0,46,1,1
14527.0,31711.0,31711.0,0.0,31711.0,0.0,1.0,3.0,134.56,134.0,2.18,5.0,4.0,5.0,89,1,0
3379.0,3303.0,0.0,3303.0,0.0,0.0,1.0,2.5,120.67,46.0,0.98,0.5,0.0,1.0,100,1,0
6900.0,2916.0,0.0,2083.0,0.0,0.0,1.0,1.5,100.0,46.0,0.42,0.5,0.0,1.0,45,1,0
2500.0,2487.0,0.0,1776.0,0.0,0.0,1.0,2.0,100.0,46.0,0.99,0.75,0.0,2.0,85,1,0
2900.0,2779.0,0.0,2779.0,0.0,0.0,1.0,2.0,100.0,70.0,0.96,2.43,0.0,4.8,100,1,0
1700.0,1402.0,0.0,1020.0,0.0,0.0,1.0,2.0,100.0,30.0,0.82,1.25,0.0,2.0,70,1,0
2000.0,2340.0,0.0,2340.0,0.0,0.0,1.0,3.0,100.0,39.0,1.17,2.43,0.0,4.8,28,1,0
7058.0,1640.0,0.0,1640.0,0.0,0.0,2.0,1.75,114.0,38.0,0.23,0.5,0.0,1.0,95,1,1
4700.0,4700.0,4700.0,0.0,0.0,4700.0,1.0,1.0,100.0,100.0,1.0,3.44,3.4,6.5,36,1,1
2200.0,1702.0,0.0,851.0,0.0,0.0,1.0,2.5,100.0,46.0,0.77,6.02,0.0,6.5,121,1,0
1831.0,6468.0,0.0,6468.0,0.0,0.0,1.0,4.0,70.42,65.0,3.53,4.0,2.0,4.0,89,1,0
2500.0,2480.0,0.0,2480.0,0.0,0.0,1.0,2.0,100.0,62.0,0.99,2.43,0.0,4.8,100,1,0
9242.0,30000.0,0.0,30000.0,0.0,0.0,1.0,5.0,92.42,79.0,3.25,3.44,0.0,4.8,96,1,0
1746.0,5136.0,0.0,5136.0,0.0,0.0,1.0,4.0,81.0,58.0,2.94,2.43,0.0,4.8,110,1,1
1700.0,1734.0,0.0,1156.0,0.0,0.0,1.0,2.0,100.0,34.0,1.02,0.75,0.0,2.0,70,1,0
